Name,Kingdom,Locations,Update Dates
Small-flower crowfoot,plantae,"44.508572, -76.550789,43.813117, -79.155209,44.079784, -79.310722,43.975990, -78.633342,44.007706, -79.092033,44.007767, -79.092003,44.075019, -78.497886,44.059879, -79.326660","2023:05:21 13:51:00,2024:04:17 09:47:37,2024:05:06 17:45:42,2024:05:07 10:39:51,2024:05:08 15:37:11,2024:05:08 15:37:18,2024:05:11 15:57:46,2024:05:14 13:37:47"
Smooth shadbush,plantae,"43.973114, -78.636292,44.076836, -78.501853,44.076789, -78.501900,44.079834, -79.455376","2024:05:07 10:54:03,2024:05:11 16:48:31,2024:05:11 16:48:43,2024:05:14 11:52:58"
Smooth sumac,plantae,"43.898038, -79.061030",2024:05:01 13:38:40
Smooth sweet cicely,plantae,"44.511478, -76.041594",2023:05:22 15:52:44
Snowball,plantae,"44.331894, -79.321892,44.083550, -79.455407","2023:09:30 15:49:32,2024:05:14 12:52:55"
Snowberry,plantae,"43.827625, -78.991783",2023:06:30 18:12:02
Soapwort,plantae,"43.891062, -81.315158,44.038479, -79.094200","2022:07:31 16:32:19,2024:05:02 14:01:30"
Speedwell,plantae,"43.813117, -79.155209,43.871677, -79.136119,44.060089, -79.326920","2024:04:17 09:43:58,2024:04:30 12:44:36,2024:05:14 13:39:52"
Spinulose woodfern,plantae,"43.993439, -79.196312",2024:05:03 14:44:22
Spotted dead-nettle,plantae,"44.082916, -79.455070,44.082916, -79.455070,44.082932, -79.455261","2024:05:14 12:35:30,2024:05:14 12:35:39,2024:05:14 12:36:36"
Spreading dogbane,plantae,"45.914325, -80.552475",2023:08:25 13:13:28
Square-stalked Willowherb,plantae,"43.725472, -81.695756",2022:11:13 14:07:01
Stag's-horn Sumac,plantae,"43.937369, -79.226486,44.039604, -79.090012,44.010053, -78.779167,43.972857, -78.636460,44.005413, -79.099133,45.001915, -79.522583,43.908700, -77.272736","2024:02:10 15:46:42,2024:05:02 14:08:20,2024:05:04 15:20:22,2024:05:07 10:55:18,2024:05:08 14:45:59,2024:05:11 00:32:39,2024:05:12 18:10:50"
Starry Solomon's Seal,plantae,"44.669858, -81.252861,43.872242, -78.793756,43.800067, -79.108306,43.800067, -79.108306,44.033853, -79.113778,43.810792, -79.151519,43.854468, -79.207263,43.854468, -79.207263,43.894081, -79.061089,43.901468, -79.067266,43.894081, -79.061089,43.973005, -78.636303,44.007236, -79.091202,44.074903, -78.498244,43.903661, -77.282250,43.903386, -77.282708,43.903392, -77.282739","2022:09:17 15:31:52,2023:05:13 14:32:32,2023:05:19 11:47:25,2023:05:19 11:47:37,2023:06:24 16:47:28,2024:04:28 14:02:45,2024:04:29 12:10:51,2024:04:29 12:11:35,2024:05:01 14:12:09,2024:05:01 14:12:22,2024:05:01 14:12:22,2024:05:07 10:54:38,2024:05:08 15:34:42,2024:05:11 15:55:34,2024:05:12 15:02:52,2024:05:12 15:18:23,2024:05:12 15:20:12"
Stinging nettle,plantae,"44.085308, -79.343826,44.004947, -78.777344,43.978329, -78.644753,44.080906, -79.455292,44.084862, -79.456200","2024:04:16 09:18:11,2024:05:04 15:51:23,2024:05:07 10:00:58,2024:05:14 11:55:57,2024:05:14 12:08:59"
Strawberry,plantae,"43.758956, -81.704497,42.950767, -81.394425,43.874325, -78.787514,43.800981, -79.107467,44.506175, -76.553056,44.536769, -76.039353,43.800919, -79.107475,43.801153, -79.107913,44.032856, -79.109903,43.848890, -78.899892,43.827586, -78.991683,44.631439, -78.873208,43.819325, -79.166694,46.183556, -74.563269,46.256339, -74.256492,43.926061, -79.228522,44.120900, -78.945672,43.933458, -78.986893,43.857221, -79.203099,44.084827, -79.358931,43.871306, -79.135831,43.898132, -79.060875,43.893906, -79.060959,44.036678, -79.100723,43.991764, -79.202850,44.008797, -78.778611,44.079048, -79.312393,43.974028, -78.634565,44.004852, -79.095184,44.006138, -79.093475,45.001785, -79.523420,45.002151, -79.520195,44.074603, -78.501944,43.910153, -77.276633,44.059570, -79.327095","2022:11:05 13:29:14,2022:12:30 15:24:50,2023:05:13 15:09:07,2023:05:19 12:15:40,2023:05:21 14:05:32,2023:05:22 14:36:09,2023:05:28 13:33:24,2023:06:24 12:46:18,2023:06:24 17:53:39,2023:06:30 15:56:10,2023:06:30 18:02:29,2023:09:17 16:40:08,2023:12:10 14:21:34,2023:12:27 11:51:49,2023:12:29 13:16:21,2024:02:10 15:09:41,2024:02:25 14:01:51,2024:04:28 17:55:30,2024:04:29 12:00:49,2024:04:30 09:56:48,2024:04:30 12:44:28,2024:05:01 13:39:42,2024:05:01 14:26:06,2024:05:02 13:49:21,2024:05:03 14:11:40,2024:05:04 15:25:49,2024:05:06 17:55:27,2024:05:07 10:48:32,2024:05:08 14:57:51,2024:05:08 15:11:49,2024:05:11 00:22:03,2024:05:11 00:22:03,2024:05:11 15:44:49,2024:05:12 17:56:53,2024:05:14 13:35:26"
String Sedge,plantae,"44.075576, -78.510099",2024:05:11 04:44:42
Striped maple,plantae,"44.531739, -76.028197",2023:05:22 13:43:27
Sugar maple,plantae,"43.992256, -79.203262,44.081128, -79.312293,43.979258, -78.636223,45.001854, -79.522789,44.077706, -78.498436,43.902064, -77.272239,44.060295, -79.327606","2024:05:03 15:16:43,2024:05:06 18:03:09,2024:05:07 10:22:24,2024:05:11 00:33:50,2024:05:11 16:10:02,2024:05:12 15:53:12,2024:05:14 13:25:17"
Sulphur cinquefoil,plantae,"43.801272, -79.106986,43.801411, -79.106858,44.080601, -79.454720","2023:06:18 16:01:37,2023:06:18 16:02:21,2024:05:14 12:27:34"
Swamp chestnut oak,plantae,"44.059818, -79.326927",2024:05:14 13:35:14
Sweet Woodruff,plantae,"43.796250, -79.114686,43.796231, -79.114656","2023:05:28 12:56:54,2023:05:28 12:57:01"
Sweet crab apple,plantae,"43.872250, -78.793756,43.908111, -77.273461","2023:05:13 14:31:47,2024:05:12 18:07:42"
Sweet-scent bedstraw,plantae,"43.795761, -79.117906,44.083755, -79.341141,44.084827, -79.358931,43.893898, -79.059959,44.035183, -79.108417,44.035713, -79.105377,43.991886, -79.202904,43.994469, -79.198746,44.002811, -78.777839,44.078632, -79.310267,43.979656, -78.636559,44.075036, -78.497878","2023:12:31 13:13:37,2024:04:16 10:05:11,2024:04:30 10:15:44,2024:05:01 14:22:14,2024:05:02 13:22:37,2024:05:02 13:34:57,2024:05:03 14:09:25,2024:05:03 14:57:15,2024:05:04 14:34:19,2024:05:06 17:50:46,2024:05:07 10:21:29,2024:05:11 15:58:00"
Sweetclover,plantae,"44.075383, -78.497672",2024:05:11 15:59:06
Tall meadow-rue,plantae,"44.082561, -79.454132",2024:05:14 12:35:06
Tatarian honeysuckle,plantae,"44.417358, -81.461731,43.798978, -79.108733,44.079945, -79.454147,44.080265, -79.454529,44.080650, -79.454575","2022:05:22 15:52:54,2023:05:28 13:09:21,2024:05:14 11:44:30,2024:05:14 12:26:54,2024:05:14 12:27:58"
Teaberry,plantae,"43.259264, -81.836287,46.045717, -81.324487,44.917514, -78.062722,44.917508, -78.062728,46.017078, -80.588708,46.017078, -80.588714,46.016158, -80.601936,46.016147, -80.601997,46.586236, -82.676361,46.583203, -82.674081,46.723286, -79.818275,46.720858, -79.811919,46.720992, -79.812150,45.921250, -80.556000,46.184431, -74.565614,46.183444, -74.563981,46.183933, -74.563217","2022:05:08 13:43:15,2022:07:03 11:52:32,2023:06:03 15:24:02,2023:06:03 15:24:09,2023:08:21 15:58:34,2023:08:21 15:58:37,2023:08:21 16:44:05,2023:08:21 16:44:16,2023:08:22 15:48:41,2023:08:22 16:25:01,2023:08:24 15:22:13,2023:08:24 16:45:28,2023:08:24 16:45:37,2023:08:25 13:48:58,2023:12:27 11:38:29,2023:12:27 11:44:55,2023:12:27 11:57:09"
Three-Leaf False Solomon's-Seal,plantae,"44.035892, -79.105782",2024:05:02 13:34:32
Thyme speedwell,plantae,"43.872014, -78.792358",2023:05:13 14:28:34
Tower cress,plantae,"43.977818, -78.645882",2024:05:07 12:18:45
Trailing St. John's-wort,plantae,"45.002197, -79.520218,45.000915, -79.524834","2024:05:11 00:22:36,2024:05:11 00:54:06"
Trailing fuzzy-bean,plantae,"42.579341, -80.384408",2022:08:14 13:56:01
Treacle Hedge-mustard,plantae,"43.990853, -77.732917",2023:10:29 16:38:11
Twistedstalk,plantae,"46.586811, -82.706528,46.586808, -82.706528,46.586778, -82.706558","2023:08:22 13:53:03,2023:08:22 13:53:14,2023:08:22 13:53:31"
Two-flower melic,plantae,"44.081214, -78.502144",2024:05:11 05:15:17
Variable hawthorn,plantae,"43.874775, -78.796822",2023:06:28 19:55:48
Viper's bugloss,plantae,"43.820175, -80.009440",2022:07:31 16:34:26
Wall Lettuce,plantae,"44.084827, -79.358931,43.983237, -78.645098,43.981488, -78.645552,43.975019, -78.614870,44.006100, -79.093346,45.001213, -79.524437,44.080406, -78.500831","2024:04:30 10:23:12,2024:05:07 09:34:21,2024:05:07 09:47:51,2024:05:07 11:06:30,2024:05:08 15:12:17,2024:05:11 00:40:18,2024:05:11 17:25:04"
Water Forget-me-not,plantae,"44.079563, -79.455025",2024:05:14 11:49:18
Water Mint,plantae,"44.675422, -81.257150",2022:09:17 14:42:42
Water-gladiolus,plantae,"43.872108, -78.794639,43.872489, -78.795350,43.872497, -78.795356,43.872494, -78.795350","2023:06:28 19:44:26,2023:08:31 19:06:29,2023:08:31 19:06:36,2023:08:31 19:06:41"
Watercress,plantae,"43.933365, -78.986592",2024:04:28 18:25:27
Western red columbine,plantae,"44.038520, -79.090945",2024:05:02 14:13:27
White Cedar,plantae,"43.857627, -79.202585,43.857221, -79.203099,43.871011, -79.135648,43.893902, -79.060944,43.992012, -79.199944,44.006119, -78.782028,43.980450, -78.641411,43.986305, -79.072800,44.077853, -78.500886,44.077042, -78.501778,43.903531, -77.281936,44.082951, -79.455605,44.059338, -79.326813","2024:04:29 12:08:22,2024:04:29 12:52:03,2024:04:30 12:13:06,2024:05:01 14:25:45,2024:05:03 14:31:57,2024:05:04 14:45:06,2024:05:07 10:10:10,2024:05:08 15:06:41,2024:05:11 16:38:51,2024:05:11 16:46:16,2024:05:12 15:05:46,2024:05:14 12:04:21,2024:05:14 13:32:22"
White Rattlesnake-Root,plantae,"43.686597, -81.584069,44.676271, -81.252282,44.499328, -76.545022,44.499367, -76.544389,44.505692, -76.042856,44.296433, -77.799653,44.296433, -77.799653,43.811890, -79.153757,43.811890, -79.153757,43.933335, -78.986809,43.933335, -78.986809,43.871832, -79.136245,43.895756, -79.060715,43.895756, -79.060715","2022:08:27 13:16:18,2022:09:17 16:20:49,2023:05:21 15:16:50,2023:05:21 15:19:25,2023:05:22 11:35:41,2023:09:09 15:34:19,2023:09:09 15:34:22,2024:04:28 13:51:16,2024:04:28 13:54:34,2024:04:28 17:49:25,2024:04:28 17:49:32,2024:04:30 12:29:59,2024:05:01 14:39:56,2024:05:01 14:40:05"
White avens,plantae,"43.857627, -79.202585",2024:04:29 12:31:24
White baneberry,plantae,"43.883795, -81.485602,44.507617, -76.551200,44.504306, -76.041108,43.799381, -79.109029,43.872550, -79.122536,44.296028, -77.798508,44.084827, -79.358931,43.983303, -78.645062,43.981346, -78.645638,44.007874, -79.092102,44.007874, -79.092102,44.008175, -79.092323,44.077719, -78.498650,44.077664, -78.498414,43.902600, -77.268744,44.085300, -79.455566","2022:08:09 13:04:55,2023:05:21 13:46:59,2023:05:22 11:27:17,2023:06:29 16:48:03,2023:07:01 20:19:22,2023:09:09 15:38:35,2024:04:30 10:44:29,2024:05:07 09:35:08,2024:05:07 09:48:14,2024:05:08 15:37:50,2024:05:08 15:38:04,2024:05:08 15:38:29,2024:05:11 16:09:26,2024:05:11 16:09:34,2024:05:12 16:11:34,2024:05:14 12:46:20"
White birch,plantae,"44.007156, -79.097618",2024:05:08 15:55:20
White spirea,plantae,"45.002411, -79.519241",2024:05:11 00:14:52
White trillium,plantae,"43.634443, -79.970757,44.036079, -78.916293,44.085308, -79.343826,43.813117, -79.155209,43.813117, -79.155209,43.799282, -79.109974,43.814176, -79.156064,43.933335, -78.986809,43.857627, -79.202585,44.084827, -79.358931,43.871832, -79.136245,43.895897, -79.060944,44.033840, -79.113502,44.005268, -79.099007,44.007271, -79.090797,43.902894, -77.268783,44.059975, -79.327606,44.060089, -79.326920","2022:05:21 13:16:10,2023:04:24 14:58:49,2024:04:16 09:53:55,2024:04:17 09:14:01,2024:04:17 09:22:35,2024:04:24 13:45:53,2024:04:24 15:33:35,2024:04:28 17:50:06,2024:04:29 12:19:15,2024:04:30 10:15:03,2024:04:30 12:29:31,2024:05:01 14:39:16,2024:05:02 13:07:55,2024:05:08 14:46:28,2024:05:08 15:32:14,2024:05:12 16:10:25,2024:05:14 13:26:29,2024:05:14 13:39:08"
Wild Basil,plantae,"43.818433, -80.010166,43.885834, -81.491779,43.828075, -81.456475,43.826847, -81.458533,44.673375, -81.252403,44.537769, -76.039414,45.800667, -82.728722,45.783456, -82.700431,45.783428, -82.700447,44.631925, -78.872908,44.077192, -78.503792","2022:07:31 17:50:37,2022:08:09 13:21:47,2022:08:27 11:11:23,2022:09:05 09:45:21,2022:09:17 15:11:50,2023:05:22 14:32:23,2023:08:23 13:53:48,2023:08:23 16:53:19,2023:08:23 16:53:22,2023:09:17 16:42:14,2024:05:11 16:58:48"
Wild geranium,plantae,"43.799236, -79.108636,43.800214, -79.108186,43.800448, -79.108815,43.812179, -79.153984","2023:05:19 11:43:45,2023:05:28 13:38:23,2024:04:24 13:39:08,2024:04:28 14:13:00"
Wild parsnip,plantae,"43.852648, -78.878406,43.853154, -78.879951,43.851997, -78.877175,46.399283, -72.660842,43.991699, -79.203308,43.991722, -79.203239,44.079212, -79.454941","2023:06:25 17:19:17,2023:06:30 16:00:57,2023:07:08 14:52:08,2023:10:09 11:42:41,2024:05:03 15:17:59,2024:05:03 15:18:02,2024:05:14 11:50:46"
Wild sarsaparilla,plantae,"44.501072, -76.550347,44.500164, -76.548003,44.523175, -76.032386,43.980152, -78.639020,43.978931, -78.636269,45.001556, -79.523643,45.001564, -79.523651,43.901878, -77.272500,43.901981, -77.272322,43.901981, -77.272322,44.059246, -79.327232,44.059566, -79.326782","2023:05:21 14:41:10,2023:05:21 15:03:54,2023:05:22 13:05:06,2024:05:07 10:16:36,2024:05:07 10:23:38,2024:05:11 00:37:32,2024:05:11 00:37:41,2024:05:12 15:49:31,2024:05:12 15:55:11,2024:05:12 15:55:20,2024:05:14 13:31:51,2024:05:14 13:36:41"
Winterberry,plantae,"45.919797, -80.553239,44.571956, -79.330575","2023:08:25 12:29:29,2023:11:05 13:16:21"
Wood Bedstraw,plantae,"43.853841, -78.859327,43.991497, -79.201492,44.059555, -79.327477","2024:04:10 13:37:45,2024:05:03 14:24:34,2024:05:14 13:30:29"
Wood Forget-me-not,plantae,"44.055653, -79.303070",2024:05:14 13:24:23
Wood anemone,plantae,"43.812179, -79.153984",2024:04:28 14:15:07
Wood-nettle,plantae,"43.983120, -78.644768",2024:05:07 09:38:23
Woodland Grooveburr,plantae,"43.857627, -79.202585",2024:04:29 11:52:07
Wooly Mullein,plantae,"44.009439, -78.778764,44.079613, -79.310654,43.980587, -78.641060,44.006737, -79.090034,45.002136, -79.520790,44.074714, -78.501556,43.903297, -77.281928","2024:05:04 15:25:01,2024:05:06 17:47:13,2024:05:07 10:12:37,2024:05:08 15:30:01,2024:05:11 00:23:41,2024:05:11 15:46:07,2024:05:12 15:07:43"
Yellow Lady's-Slipper,plantae,"44.416059, -81.478386",2022:05:22 15:22:12
Yellow avens,plantae,"44.035637, -79.106163,44.081107, -79.312298,44.008198, -79.092300,44.078342, -78.500961,44.080200, -78.501839,44.080169, -78.501761,44.083267, -79.455757,44.059555, -79.327492","2024:05:02 13:29:43,2024:05:06 18:03:31,2024:05:08 15:38:37,2024:05:11 16:36:20,2024:05:11 17:07:35,2024:05:11 17:08:18,2024:05:14 12:05:45,2024:05:14 13:30:18"
Yellow trout lily,plantae,"43.634443, -79.970757,43.800125, -79.108708,43.412286, -79.764869,43.812116, -79.154424,44.085308, -79.343826,43.799282, -79.109974,43.799282, -79.109974,43.933335, -78.986809,43.857453, -79.202076,43.989507, -79.052050,44.084827, -79.358931,43.896820, -79.060623,44.080435, -79.310917,44.007523, -79.094810,44.078217, -78.498750","2022:05:21 14:32:05,2023:04:26 14:31:38,2024:03:31 13:38:18,2024:04:07 13:37:48,2024:04:16 09:30:25,2024:04:24 13:46:56,2024:04:24 13:56:39,2024:04:28 18:02:11,2024:04:29 12:35:14,2024:04:30 08:44:33,2024:04:30 09:52:15,2024:05:01 13:50:12,2024:05:06 17:43:19,2024:05:08 15:44:17,2024:05:11 16:12:43"
Zig-zag goldenrod,plantae,"43.812200, -79.153830,43.802011, -79.110632,43.857627, -79.202585,43.989507, -79.052050,43.871832, -79.136245,44.035713, -79.106400,44.002500, -78.776817,44.008148, -79.092163","2024:04:17 09:09:00,2024:04:24 13:45:38,2024:04:29 11:46:07,2024:04:30 08:44:03,2024:04:30 12:28:50,2024:05:02 13:30:19,2024:05:04 14:30:23,2024:05:08 15:38:46"
Phytoplasma & White Trillium (host),bacteria,"44.081681, -78.502006,44.081372, -78.501183,44.080989, -78.501197,44.080975, -78.501206","2024:05:11 17:14:58,2024:05:11 17:18:13,2024:05:11 17:22:16,2024:05:11 17:22:21"
